width,batch-time,learning-rate,replicate,known_param_strict_train_rmse,known_param_strict_test_rmse,known_param_loose_train_rmse,known_param_loose_test_rmse,unknown_param_train_rmse,unknown_param_test_rmse,NODE_train_rmse,NODE_test_rmse,known_param_strict_attempts,known_param_loose_attempts,unknown_param_attempts,NODE_attempts,loose_param_err,unknown_param_err
15.0,32.0,0.1,7.0,0.6733536124229431,0.593734622001648,0.4669644832611084,0.8440646529197693,0.06294884532690048,0.06068854779005051,0.035299185663461685,0.03520574793219566,0,0,0,0,0.004109615319330184,16.24705467193621
15.0,32.0,0.1,11.0,0.6630009412765503,0.5902118682861328,0.5256078839302063,1.181044101715088,0.0808953046798706,0.12894277274608612,0.03715959191322327,0.03154582902789116,0,0,0,0,0.002908554913867878,15.951853676231107
5.0,32.0,0.1,24.0,0.6660414934158325,0.6016973257064819,0.36170628666877747,1.0996063947677612,0.07103418558835983,0.058961547911167145,0.031177952885627747,0.03386921435594559,0,0,0,0,0.0048351595766232824,16.121312102511478
25.0,64.0,0.1,10.0,0.6782152056694031,0.8572743535041809,0.30011603236198425,0.3376004099845886,0.22985444962978363,0.33531591296195984,0.04383036494255066,0.03845277428627014,0,0,0,0,0.0033874300738349072,1.640943060463799
15.0,64.0,0.1,13.0,0.8678834438323975,0.9988565444946289,0.1722051203250885,0.22120124101638794,0.16871598362922668,4.220293045043945,0.03675226494669914,0.03459938243031502,0,0,0,0,0.0023765548251670765,0.7721449836591436
5.0,32.0,0.1,13.0,1.934470295906067,,0.3694872260093689,1.0697455406188965,0.07099680602550507,0.07457152009010315,0.0400262326002121,0.03720950335264206,0,0,0,0,0.004136730835089253,17.02330731595167
5.0,64.0,0.1,19.0,0.6323676705360413,0.5766361355781555,0.18486647307872772,0.5368658304214478,0.1759139448404312,0.188041090965271,0.03798884525895119,0.034518368542194366,0,0,0,0,0.004926608814610711,1.6068411011556978
15.0,32.0,0.1,25.0,0.6782630681991577,0.5967703461647034,0.3889034390449524,1.1895077228546143,0.07241246104240417,0.11597328633069992,0.035408586263656616,0.031590286642313004,0,0,0,0,0.0026250383221054774,12.20047165444409
5.0,32.0,0.1,27.0,0.6486098766326904,0.5946426391601562,0.33766308426856995,1.114453673362732,0.06835737824440002,0.05782647058367729,0.045828789472579956,0.050205033272504807,0,0,0,0,0.0028346114777606513,17.41988803362994
5.0,32.0,0.1,8.0,0.6530554890632629,0.5832081437110901,0.446233332157135,,0.0887455865740776,0.15965910255908966,0.03773088753223419,0.03557710349559784,0,0,0,0,0.0028991792170163233,13.745451750333208
25.0,64.0,0.1,29.0,0.7575412392616272,0.6867974400520325,0.16734972596168518,0.20262865722179413,0.18622753024101257,0.24288423359394073,0.04456614330410957,0.033873505890369415,0,0,0,0,0.005533353140490416,1.8738493686193358
5.0,32.0,0.1,10.0,0.6023808717727661,0.6143493056297302,0.4931662082672119,1.346609115600586,0.0610855296254158,0.08191276341676712,0.03788411244750023,0.03391764312982559,0,0,0,0,0.002468077610349395,17.312510691381036
5.0,32.0,0.1,1.0,0.6703575253486633,0.5952224135398865,0.4837493300437927,1.1994727849960327,0.09448768198490143,0.15937529504299164,0.09796470403671265,0.10979798436164856,0,0,0,0,0.005610850028933023,13.99466305292498
