width,batch-time,learning-rate,replicate,beta_percent_err,beta_fit,beta_true,gamma_percent_err,gamma_fit,gamma_true,delta_percent_err,delta_fit,delta_true
15.0,64.0,0.1,14.0,0.6144392022250298,0.5783411966624553,1.5,0.2313955674911643,2.305813297526507,3.0,0.06737217043783916,1.0673721704378392,1.0
15.0,64.0,0.1,10.0,0.03262349258248198,1.548935238873723,1.5,0.03983203615750982,2.8805038915274706,3.0,0.13037340937420416,1.1303734093742042,1.0
15.0,32.0,0.1,28.0,10.440370306384482,17.160555459576724,1.5,0.044966296435977014,2.865101110692069,3.0,0.07748950378568686,1.0774895037856869,1.0
5.0,64.0,0.1,10.0,0.19270979240543853,1.7890646886081578,1.5,0.08108413499402485,2.7567475950179254,3.0,0.022321928146701975,1.022321928146702,1.0
25.0,32.0,0.1,29.0,10.448853903448414,17.17328085517262,1.5,0.04026715180623297,2.879198544581301,3.0,0.07948071150323455,1.0794807115032345,1.0
25.0,64.0,0.1,11.0,0.3429261517837281,0.9856107723244079,1.5,0.03227105875956907,2.9031868237212928,3.0,0.2290631114335293,1.2290631114335293,1.0
25.0,32.0,0.1,9.0,9.972233080636661,16.45834962095499,1.5,0.05917186024341866,2.822484419269744,3.0,0.06506817880047455,1.0650681788004746,1.0
5.0,64.0,0.1,17.0,0.21603261848217312,1.8240489277232597,1.5,0.07785142846827171,2.766445714595185,3.0,0.024817089251813584,1.0248170892518136,1.0
25.0,64.0,0.1,3.0,0.35677645191507024,0.9648353221273946,1.5,0.045931959187093696,2.862204122438719,3.0,0.22881528674948326,1.2288152867494833,1.0
15.0,64.0,0.1,9.0,0.5445440777466523,0.6831838833800217,1.5,0.16384981612874597,2.508450551613762,3.0,0.19646991659266755,1.1964699165926675,1.0
25.0,32.0,0.1,11.0,10.080510867761697,16.620766301642547,1.5,0.06640663311964386,2.8007801006410684,3.0,0.06574184404879424,1.0657418440487942,1.0
5.0,32.0,0.1,15.0,8.953875706667489,14.930813560001233,1.5,0.04814492138327934,2.855565235850162,3.0,0.09885982826382178,1.0988598282638218,1.0
15.0,32.0,0.1,10.0,11.699315829496191,19.048973744244286,1.5,0.024670263335602776,2.9259892099931917,3.0,0.07602390830682437,1.0760239083068244,1.0
15.0,64.0,0.1,23.0,0.665547658008283,0.5016785129875756,1.5,0.15259501456709934,2.542214956298702,3.0,0.1312535937810524,1.1312535937810524,1.0
25.0,32.0,0.1,21.0,10.867882195727821,17.80182329359173,1.5,0.05447170255039794,2.836584892348806,3.0,0.07326324951518681,1.0732632495151868,1.0
15.0,32.0,0.1,4.0,3.8397603597162604,7.259640539574391,1.5,0.10055190578577526,2.6983442826426742,3.0,0.15421525519024804,1.154215255190248,1.0
