width,batch-time,learning-rate,replicate,J0_percent_err,J0_fit,J0_true,k2_percent_err,k2_fit,k2_true,k3_percent_err,k3_fit,k3_true,k4_percent_err,k4_fit,k4_true,k5_percent_err,k5_fit,k5_true,k6_percent_err,k6_fit,k6_true,k_percent_err,k_fit,k_true,kappa_percent_err,kappa_fit,kappa_true,psi_percent_err,psi_fit,psi_true,N_percent_err,N_fit,N_true,A_percent_err,A_fit,A_true
25.0,64.0,0.1,10.0,,,2.5,,,6.0,,,16.0,,,100,,,1.28,,,12.0,,,1.8,,,13.0,,,0.1,,,1.0,,,4.0
15.0,64.0,0.1,13.0,1.04258592461548e-05,2.5000260646481154,2.5,1.4046227988136668e-06,5.999991572263207,6.0,9.659205620904388e-07,15.999984545271007,16.0,2.280423943545884e-07,100.00002280423944,100,1.9931717280124994e-06,1.2800025512598119,1.28,1.3729083023032256e-06,11.999983525100372,12.0,1.2034287681311145e-05,1.7999783382821737,1.8,4.0506259816416225e-08,13.000000526581378,13.0,0.0001213062954544264,0.10001213062954545,0.1,5.915940865852676e-06,1.0000059159408659,1.0,3.7033213557968736e-06,3.999985186714577,4.0
5.0,32.0,0.1,13.0,2.3171643492858607e-06,2.499994207089127,2.5,2.832089343633252e-06,5.999983007463938,6.0,1.206545279686111e-06,16.000019304724475,16.0,9.495884910393215e-08,100.00000949588491,100,1.6178114189621673e-05,1.2800207079861627,1.28,1.317706258182246e-07,12.00000158124751,12.0,5.269365122511576e-06,1.7999905151427795,1.8,4.979722338414551e-07,12.99999352636096,13.0,0.00021274038362578684,0.09997872596163743,0.1,2.9151704134533496e-05,0.9999708482958655,1.0,2.8289131601688666e-06,4.000011315652641,4.0
5.0,64.0,0.1,19.0,1.8090528152825414e-06,2.500004522632038,2.5,1.1766639221496196e-06,5.999992940016467,6.0,1.1348992288162663e-06,16.00001815838766,16.0,3.2965288738751045e-08,100.00000329652887,100,2.4099694687432227e-05,1.2799691523908001,1.28,1.061275790507447e-06,11.999987264690514,12.0,8.600939163599324e-06,1.8000154816904945,1.8,6.60959875139392e-07,12.999991407521623,13.0,0.0001645518886771169,0.0999835448111323,0.1,1.959739119716808e-05,1.0000195973911972,1.0,2.1668036511712785e-06,4.000008667214605,4.0
15.0,32.0,0.1,25.0,5.955628547837932e-06,2.4999851109286304,2.5,1.4703418385053624e-06,5.999991177948969,6.0,4.339824215549015e-07,16.000006943718745,16.0,1.0561883101445346e-07,100.0000105618831,100,7.940427459648958e-06,1.2800101637471484,1.28,4.602454000135481e-07,11.9999944770552,12.0,4.977669497203192e-06,1.800008959805095,1.8,1.0204838948569572e-06,12.999986733709367,13.0,4.954700060330608e-05,0.09999504529993967,0.1,4.229625361062972e-07,1.000000422962536,1.0,2.4376545502136082e-06,4.000009750618201,4.0
5.0,32.0,0.1,27.0,4.600004555577187e-06,2.499988499988611,2.5,1.6907867757727976e-07,6.0000010144720655,6.0,4.913598119493656e-07,16.00000786175699,16.0,2.1155572682118873e-07,99.99997884442732,100,7.1854627855388875e-06,1.2800091973923655,1.28,3.880020963779411e-07,12.000004656025157,12.0,1.9704111918637956e-06,1.8000035467401454,1.8,4.5704141339906704e-07,12.999994058461626,13.0,3.978789864370058e-05,0.10000397878986438,0.1,3.573574958615211e-06,0.9999964264250414,1.0,5.895711583381313e-07,4.000002358284633,4.0
5.0,32.0,0.1,8.0,9.715897790130156e-06,2.4999757102555247,2.5,5.230806280417018e-06,6.0000313848376825,6.0,7.0387762596269e-07,15.999988737957985,16.0,1.480935596021027e-07,100.00001480935596,100,3.400238014587831e-06,1.2800043523046587,1.28,1.1699936806053302e-06,12.000014039924167,12.0,5.646100985634561e-06,1.799989837018226,1.8,1.8150197925811322e-09,13.000000023595257,13.0,0.00011985273984493894,0.1000119852739845,0.1,8.157102331596278e-06,1.0000081571023316,1.0,5.677671215176261e-06,4.000022710684861,4.0
25.0,64.0,0.1,29.0,,,2.5,,,6.0,,,16.0,,,100,,,1.28,,,12.0,,,1.8,,,13.0,,,0.1,,,1.0,,,4.0
5.0,32.0,0.1,10.0,8.348003071034782e-08,2.4999997912999232,2.5,1.6543783809552792e-06,5.999990073729714,6.0,1.3321199066052003e-07,15.99999786860815,16.0,1.2697777265202604e-08,100.00000126977773,100,4.3671058404942675e-06,1.2799944101045242,1.28,1.3120931563470606e-06,12.000015745117876,12.0,3.2899612787160336e-08,1.800000059219303,1.8,5.650797442276948e-07,13.000007346036675,13.0,0.0001711970630421944,0.10001711970630422,0.1,5.798778031751439e-06,0.9999942012219682,1.0,4.790687210265432e-06,3.999980837251159,4.0
5.0,32.0,0.1,1.0,5.256397699859861e-06,2.5000131409942496,2.5,5.709565100708858e-07,6.00000342573906,6.0,8.237114019760128e-07,16.00001317938243,16.0,1.3721989688519898e-07,99.99998627801031,100,3.5810130787766736e-06,1.2800045836967409,1.28,2.119954672548848e-07,12.000002543945607,12.0,6.458063088003266e-07,1.8000011624513559,1.8,6.857598499994293e-07,13.00000891487805,13.0,0.0001957065038651895,0.09998042934961349,0.1,2.5194206917711348e-05,0.9999748057930823,1.0,5.864365926200321e-08,4.000000234574637,4.0
5.0,32.0,0.1,14.0,1.1511083211956929e-06,2.499997122229197,2.5,2.998073031316532e-06,5.999982011561812,6.0,7.858520894021837e-07,16.00001257363343,16.0,1.9746797150332895e-07,100.00001974679715,100,1.6099928584756285e-06,1.2800020607908589,1.28,4.4676940887574307e-07,12.000005361232907,12.0,9.295370373048803e-06,1.7999832683333286,1.8,1.18972389451244e-06,12.999984533589371,13.0,0.00011501776911740369,0.09998849822308827,0.1,9.998754135764898e-08,1.0000000999875414,1.0,2.696043619909716e-06,4.00001078417448,4.0
25.0,64.0,0.1,12.0,,,2.5,,,6.0,,,16.0,,,100,,,1.28,,,12.0,,,1.8,,,13.0,,,0.1,,,1.0,,,4.0
15.0,32.0,0.1,16.0,7.219717510942303e-06,2.4999819507062226,2.5,5.999895750600596e-08,5.999999640006255,6.0,8.752764922848044e-07,15.999985995576123,16.0,3.7316303149736994e-07,99.99996268369685,100,5.31320785649575e-06,1.2799931990939437,1.28,1.4507263042714176e-06,11.999982591284349,12.0,3.553743632700446e-08,1.8000000639673854,1.8,3.416901715415686e-08,12.999999555802777,13.0,3.935920304162788e-05,0.09999606407969584,0.1,1.9740799362732986e-05,1.0000197407993627,1.0,2.9952374080988164e-06,4.000011980949632,4.0
15.0,64.0,0.1,22.0,9.841989458436728e-06,2.500024604973646,2.5,4.021390565730106e-07,5.999997587165661,6.0,2.793190247984967e-07,15.999995530895603,16.0,5.023971137063654e-07,99.99994976028863,100,8.446946025801594e-06,1.280010812090913,1.28,3.612980819707919e-07,11.999995664423016,12.0,1.018606015115411e-05,1.799981665091728,1.8,1.015014225558275e-06,13.000013195184932,13.0,0.00026176486258383536,0.09997382351374162,0.1,2.730518485427602e-06,0.9999972694815146,1.0,1.601027701747526e-06,4.000006404110807,4.0
15.0,32.0,0.1,24.0,1.0303155209356873e-05,2.5000257578880234,2.5,4.8650064517670915e-06,5.999970809961289,6.0,6.019290719194714e-07,16.00000963086515,16.0,3.468749696367013e-08,100.0000034687497,100,8.881776130537089e-08,1.2799998863132656,1.28,8.013647261329027e-07,11.999990383623286,12.0,9.163313400901214e-06,1.8000164939641217,1.8,1.3841720765128684e-06,13.000017994236995,13.0,5.1320483627215197e-05,0.10000513204836273,0.1,5.561804933496006e-06,1.0000055618049335,1.0,4.786216097785179e-06,3.999980855135609,4.0
5.0,32.0,0.1,2.0,8.193747526696882e-06,2.4999795156311833,2.5,3.179612230101251e-06,5.999980922326619,6.0,3.135859626413051e-07,15.999994982624598,16.0,1.5164017298729958e-07,99.9999848359827,100,1.3744669553200639e-05,1.2800175931770281,1.28,8.691560759999106e-08,11.999998957012709,12.0,5.1701547318680795e-06,1.8000093062785174,1.8,6.561067287418172e-07,12.999991470612526,13.0,0.0001127414831531004,0.10001127414831532,0.1,8.78343262911141e-06,0.9999912165673709,1.0,1.0154702555498218e-05,4.000040618810222,4.0
25.0,64.0,0.1,14.0,8.897050888023728e-07,2.500002224262722,2.5,4.338390287017546e-07,5.999997396965828,6.0,7.981280858437856e-08,16.000001277004937,16.0,2.7419200122835717e-07,100.00002741920012,100,1.674857118098838e-06,1.2800021438171112,1.28,6.811717974860206e-07,12.00000817406157,12.0,3.1353369072611373e-06,1.8000056436064331,1.8,5.040943361878957e-08,13.000000655322637,13.0,3.582946406094356e-05,0.1000035829464061,0.1,1.1355640169963266e-05,0.99998864435983,1.0,3.4482005044633723e-06,4.000013792802018,4.0
15.0,64.0,0.1,19.0,4.419087656160059e-06,2.5000110477191404,2.5,8.971542162505841e-07,5.9999946170747025,6.0,1.097113815573536e-06,15.99998244617895,16.0,1.662160116211453e-09,100.00000016621601,100,6.78390687999797e-06,1.2799913165991936,1.28,5.633479056577073e-07,12.000006760174868,12.0,2.2695279855433625e-06,1.799995914849626,1.8,1.1570689587997024e-06,13.000015041896464,13.0,5.3569548910809006e-05,0.09999464304510892,0.1,1.8470657955349523e-05,1.0000184706579553,1.0,8.176616619337551e-07,4.000003270646648,4.0
