width,batch-time,learning-rate,replicate,known_param_strict_train_rmse,known_param_strict_test_rmse,known_param_loose_train_rmse,known_param_loose_test_rmse,unknown_param_train_rmse,unknown_param_test_rmse,NODE_train_rmse,NODE_test_rmse,known_param_strict_attempts,known_param_loose_attempts,unknown_param_attempts,NODE_attempts,loose_param_err,unknown_param_err
15.0,64.0,0.1,8.0,0.15596649050712585,0.41886815428733826,0.19790908694267273,0.5448410511016846,,,0.15619291365146637,0.48307520151138306,5,15,50,1,8.904543665014253e-05,
15.0,64.0,0.1,14.0,0.1916734278202057,0.4630579650402069,0.1777178794145584,0.36629563570022583,,,0.12536035478115082,0.35022467374801636,2,7,50,1,0.00012795207293339605,
15.0,64.0,0.1,10.0,0.14620135724544525,0.43624457716941833,0.1666804701089859,0.42233309149742126,0.12328754365444183,0.24492071568965912,0.1472209393978119,0.45987245440483093,1,4,11,1,0.00014418968933185838,20.53307209916686
15.0,32.0,0.1,28.0,0.273882657289505,0.3487864136695862,0.22000709176063538,0.1816219538450241,0.3540252149105072,0.31383851170539856,0.19881020486354828,0.15414364635944366,1,2,2,1,9.031999333562746e-05,24.440839529512154
5.0,64.0,0.1,10.0,0.17001304030418396,0.3278561234474182,0.16253066062927246,0.12415016442537308,0.23619933426380157,0.42076006531715393,0.16503143310546875,0.14422275125980377,1,2,1,1,0.00010175710676366134,37.08057978212967
25.0,32.0,0.1,29.0,0.31894421577453613,0.306713342666626,0.22368909418582916,0.16975624859333038,0.3534959554672241,0.327014684677124,0.10069850087165833,0.13264325261116028,3,6,8,1,0.00014470306393345178,20.62132206631985
25.0,64.0,0.1,11.0,,,0.20663414895534515,0.41124463081359863,0.18987448513507843,0.3702888786792755,0.18069331347942352,0.4704877436161041,50,19,1,1,6.708534114091558e-05,21.261762040772666
25.0,32.0,0.1,9.0,0.15462450683116913,0.06870076805353165,0.21313951909542084,0.169808492064476,0.18810637295246124,0.09444154053926468,0.15620264410972595,0.1864115595817566,1,3,2,1,8.150043448056088e-05,25.963185574938528
5.0,64.0,0.1,17.0,0.18597038090229034,0.17642220854759216,0.20108585059642792,0.21999426186084747,0.2768726944923401,0.3458845019340515,0.2511199712753296,0.4845432937145233,1,1,1,1,0.0001306063821936293,34.12655176544759
25.0,64.0,0.1,3.0,0.1774202287197113,0.5220914483070374,0.13376137614250183,0.3302779793739319,0.16874387860298157,0.2901676893234253,0.18780963122844696,0.46625766158103943,13,22,14,1,0.0001186555403422801,21.588873122689108
15.0,64.0,0.1,9.0,0.18036001920700073,0.5202662348747253,0.20050835609436035,0.5797020196914673,0.19604910910129547,0.5530230402946472,0.16315650939941406,0.5027397871017456,1,1,28,1,0.00017174122515235812,15.909908644418918
25.0,32.0,0.1,11.0,0.19744160771369934,0.16728942096233368,0.11551787704229355,0.09923093765974045,0.10679154098033905,0.07545875012874603,0.10273183137178421,0.12507577240467072,2,3,2,1,0.0001250507855436317,20.155929519747843
