width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,beta_percent_err,beta_fit,beta_true,gamma_percent_err,gamma_fit,gamma_true,delta_percent_err,delta_fit,delta_true
5.0,64.0,0.1,0.0,2.0,4.0,6.0,6.871234486565174,11.80685172984776,1.5,0.41376100678014666,1.75871697965956,3.0,0.49881276637272776,0.5011872336272722,1.0
5.0,64.0,0.1,1.0,0.0,5.0,13.0,2.9605947323337506e-16,1.5000000000000004,1.5,0.8539392542470271,0.4381822372589186,3.0,2.3799461170490854,3.3799461170490854,1.0
5.0,64.0,0.1,1.0,1.0,2.0,1.0,0.9496584020243932,0.07551239696341018,1.5,0.8741074588205833,0.3776776235382501,3.0,1.8944526160657746,2.8944526160657746,1.0
5.0,64.0,0.1,0.0,1.0,9.0,4.0,,,1.5,14.848931924611122,47.54679577383337,3.0,,,1.0
5.0,64.0,0.1,0.0,0.0,2.0,3.0,0.8741074588205833,0.18883881176912512,1.5,0.2998409978653589,2.1004770064039233,3.0,0.19581516840763946,1.1958151684076395,1.0
5.0,64.0,0.1,0.0,0.0,7.0,10.0,2.9810717055349745,5.971607558302462,1.5,0.2219629908700235,2.3341110273899295,3.0,0.038674714085113804,1.0386747140851138,1.0
5.0,64.0,0.1,1.0,0.0,6.0,8.0,0.9952623149688792,2.9928934724533187,1.5,0.24213417644808777,2.2735974706557367,3.0,0.01112693962247413,0.9888730603775259,1.0
5.0,64.0,0.1,0.0,1.0,0.0,15.0,3.4273689379218246,-3.641053406882737,1.5,0.9683772233983162,0.09486832980505137,3.0,1.5509582085456226,2.5509582085456226,1.0
5.0,64.0,0.1,1.0,2.0,2.0,15.0,1.847801047388933,4.271701571083399,1.5,0.6091869606046992,1.1724391181859022,3.0,0.8741074588205833,0.12589254117941673,1.0
5.0,64.0,0.1,1.0,0.0,7.0,13.0,2.9810717055349745,5.971607558302462,1.5,0.1794195662158411,2.4617413013524767,3.0,0.09015117959682994,1.09015117959683,1.0
5.0,64.0,0.1,1.0,1.0,2.0,13.0,2.6214375011148756,-2.432156251672313,1.5,0.8741074588205833,0.3776776235382501,3.0,0.007874291608417683,0.9921257083915823,1.0
5.0,64.0,0.1,0.0,1.0,7.0,16.0,1.8251459545141255,4.237718931771188,1.5,2.9810717055349727,11.943215116604918,3.0,1.0127179870905332,2.012717987090533,1.0
5.0,64.0,0.1,1.0,1.0,3.0,16.0,1.500555846487896,-0.7508337697318442,1.5,0.7488113568490421,0.7535659294528738,3.0,0.0897361533493587,0.9102638466506413,1.0
5.0,64.0,0.1,0.0,2.0,3.0,9.0,3.001626403395454,6.002439605093181,1.5,0.5175684303283865,1.4472947090148405,3.0,0.748811356849042,0.25118864315095796,1.0
5.0,64.0,0.1,1.0,2.0,7.0,10.0,1.7530341156292752,-1.1295511734439128,1.5,1.716296711329467,8.1488901339884,3.0,2.981071705534973,3.981071705534973,1.0
5.0,64.0,0.1,1.0,0.0,6.0,18.0,0.9952623149688792,2.9928934724533187,1.5,0.21984165727259075,2.3404750281822277,3.0,0.005663969088375298,1.0056639690883753,1.0
5.0,64.0,0.1,0.0,0.0,5.0,9.0,2.9605947323337506e-16,1.5000000000000004,1.5,0.056114343362956585,2.8316569699111303,3.0,0.16003315756504644,1.1600331575650464,1.0
5.0,64.0,0.1,0.0,2.0,6.0,18.0,1.2876227615105174,-0.43143414226577603,1.5,0.11848722588826233,2.644538322335213,3.0,0.9952623149688788,1.9952623149688788,1.0
5.0,64.0,0.1,0.0,2.0,9.0,16.0,3.319236008093482,6.478854012140223,1.5,0.18280514872363826,2.4515845538290852,3.0,14.848931924611126,15.848931924611126,1.0
5.0,64.0,0.1,0.0,2.0,0.0,11.0,5.167424670901275,9.251137006351913,1.5,0.5884945230160337,1.234516430951899,3.0,0.9683772233983162,0.03162277660168379,1.0
5.0,64.0,0.1,1.0,0.0,7.0,14.0,2.9810717055349745,5.971607558302462,1.5,0.17593069892691574,2.4722079032192528,3.0,0.06414361559023662,1.0641436155902366,1.0
5.0,64.0,0.1,1.0,0.0,8.0,8.0,6.943282347242815,11.914923520864223,1.5,0.0884638903982758,2.7346083288051726,3.0,0.05901293601228952,1.0590129360122895,1.0
5.0,64.0,0.1,0.0,0.0,6.0,5.0,0.9952623149688792,2.9928934724533187,1.5,0.1699623672237441,2.4901128983287677,3.0,0.008464481630217291,1.0084644816302173,1.0
5.0,64.0,0.1,0.0,2.0,4.0,3.0,4.092202401004375,7.638303601506562,1.5,0.4657778791685628,1.6026663624943116,3.0,0.49881276637272776,0.5011872336272722,1.0
5.0,64.0,0.1,0.0,2.0,6.0,7.0,2.952004588145224,-2.928006882217836,1.5,0.15365868327266327,2.53902395018201,3.0,0.9952623149688788,1.9952623149688788,1.0
5.0,64.0,0.1,1.0,2.0,1.0,10.0,3.2233126019072387,6.334968902860858,1.5,0.6145525387522672,1.1563423837431983,3.0,0.9369042655519807,0.06309573444801933,1.0
5.0,64.0,0.1,0.0,2.0,10.0,3.0,,,1.5,,,3.0,30.622776601683793,31.622776601683793,1.0
5.0,64.0,0.1,0.0,1.0,8.0,11.0,,,1.5,6.943282347242813,23.82984704172844,3.0,,,1.0
5.0,64.0,0.1,1.0,1.0,7.0,14.0,0.09592638238006401,1.643889573570096,1.5,2.9810717055349727,11.943215116604918,3.0,1.596984759904375,2.596984759904375,1.0
5.0,64.0,0.1,0.0,2.0,8.0,15.0,3.0971957314512193,6.145793597176829,1.5,0.9165114122437071,0.2504657632688787,3.0,6.943282347242813,7.943282347242813,1.0
5.0,64.0,0.1,1.0,0.0,0.0,10.0,0.9683772233983162,0.0474341649025257,1.5,0.45845169418674864,1.6246449174397541,3.0,0.02915302466064751,1.0291530246606475,1.0
5.0,64.0,0.1,1.0,0.0,2.0,20.0,0.8741074588205833,0.18883881176912512,1.5,0.2924011293349628,3.8772033880048884,3.0,0.20849438883301907,1.208494388833019,1.0
5.0,64.0,0.1,1.0,0.0,6.0,12.0,0.9952623149688792,2.9928934724533187,1.5,0.08114047377651075,2.7565785786704677,3.0,0.11532375461252609,1.115323754612526,1.0
