width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,unknown_param_train_rmse,unknown_param_test_rmse,unknown_param_attempts,unknown_param_err
5.0,32.0,0.1,1.0,4.0,18.0,2.0,0.22696785628795624,0.12858064472675323,1,31.98227673899045
5.0,32.0,0.1,10.0,2.0,15.0,1.0,0.2740539610385895,0.28731420636177063,1,31.95872803270224
5.0,32.0,0.1,1.0,9.0,18.0,3.0,0.2772351801395416,0.18346866965293884,1,34.33077832419268
5.0,32.0,0.1,10.0,2.0,16.0,3.0,0.19918395578861237,0.2857620418071747,1,32.99714409021337
5.0,32.0,0.1,1.0,4.0,3.0,1.0,0.2551793158054352,0.16455036401748657,1,34.98586855436576
5.0,32.0,0.1,0.1,5.0,14.0,2.0,1.1051886081695557,2.398240566253662,30,18.51458924053536
5.0,32.0,0.1,0.0,6.0,11.0,1.0,0.4160444736480713,0.34429171681404114,1,27.90707710047012
5.0,32.0,0.1,0.1,10.0,16.0,1.0,0.11236607283353806,0.09701284766197205,1,40.695773701392035
5.0,32.0,0.1,10.0,2.0,4.0,1.0,0.16219474375247955,0.2882617115974426,1,33.365056693602305
5.0,32.0,0.1,1.0,5.0,2.0,3.0,0.361022025346756,0.22841499745845795,1,32.71512180276134
5.0,32.0,0.1,0.0,7.0,5.0,2.0,0.19994056224822998,0.2000236064195633,1,33.3098244876305
5.0,32.0,0.1,1.0,1.0,7.0,3.0,0.29718366265296936,0.25430259108543396,1,30.658939297225416
5.0,32.0,0.1,0.0,8.0,17.0,1.0,0.16057051718235016,0.10113618522882462,1,34.08756751681325
5.0,32.0,0.1,0.1,6.0,4.0,2.0,0.08962949365377426,0.08295857906341553,1,29.61765100985494
5.0,32.0,0.1,0.0,4.0,6.0,2.0,0.1826225072145462,0.14802749454975128,1,26.57663410174386
5.0,32.0,0.1,1.0,7.0,13.0,3.0,0.2948627769947052,0.27405688166618347,1,31.88572814489002
5.0,32.0,0.1,0.0,1.0,7.0,2.0,0.35956308245658875,0.36890271306037903,1,32.19685303556051
5.0,32.0,0.1,1.0,6.0,14.0,1.0,0.13367165625095367,0.23244495689868927,1,26.61863899045268
5.0,32.0,0.1,10.0,1.0,15.0,2.0,0.2599479556083679,0.19744490087032318,1,30.294961280882646
5.0,32.0,0.1,0.0,4.0,18.0,3.0,0.3158057630062103,0.3617698848247528,1,38.83243357160321
5.0,32.0,0.1,0.0,6.0,12.0,1.0,0.31321167945861816,0.26225781440734863,1,28.13199516842657
5.0,32.0,0.1,1.0,5.0,7.0,2.0,0.1568152755498886,0.06954436004161835,1,24.240405395653074
5.0,32.0,0.1,0.1,0.0,19.0,1.0,0.2926177382469177,0.2761745750904083,1,38.294097439817484
5.0,32.0,0.1,0.0,7.0,1.0,2.0,0.1957813799381256,0.15771742165088654,1,36.22503144876501
5.0,32.0,0.1,0.1,5.0,1.0,3.0,0.1982167363166809,0.13214848935604095,1,28.788223750618272
5.0,32.0,0.1,0.0,0.0,17.0,3.0,0.17908959090709686,0.19402976334095,5,27.333926525570476
5.0,32.0,0.1,1.0,9.0,9.0,2.0,0.42292824387550354,0.5449404716491699,1,31.943012429238266
5.0,32.0,0.1,10.0,0.0,12.0,2.0,0.3564225733280182,0.3907162547111511,1,26.175338646943842
5.0,32.0,0.1,0.1,6.0,19.0,1.0,0.1005573719739914,0.17469824850559235,1,27.11964462877416
5.0,32.0,0.1,0.1,7.0,14.0,2.0,0.43481743335723877,0.48178377747535706,1,28.578897107135337
5.0,32.0,0.1,0.1,5.0,11.0,3.0,0.1839466243982315,0.2056434154510498,1,22.76950447042408
5.0,32.0,0.1,0.1,7.0,16.0,2.0,0.24717369675636292,0.17873750627040863,1,29.116858530192058
5.0,32.0,0.1,1.0,1.0,7.0,2.0,0.2992826998233795,0.21718697249889374,1,29.4391127294887
5.0,32.0,0.1,0.0,3.0,10.0,1.0,0.10645628720521927,0.16019128262996674,1,30.01348225231159
5.0,32.0,0.1,10.0,9.0,11.0,2.0,0.3237268328666687,0.2319820076227188,1,31.41941510940744
5.0,32.0,0.1,10.0,6.0,6.0,1.0,0.24240337312221527,0.26127034425735474,1,27.142037382461332
5.0,32.0,0.1,1.0,6.0,1.0,3.0,0.26320964097976685,0.285062313079834,1,30.460783086894665
5.0,32.0,0.1,0.0,2.0,16.0,2.0,0.2791011333465576,0.18171535432338715,1,30.05561966637281
5.0,32.0,0.1,10.0,1.0,19.0,1.0,0.2907593548297882,0.18860115110874176,1,33.30696224445414
5.0,32.0,0.1,0.0,0.0,3.0,2.0,0.42883312702178955,0.3185541331768036,1,25.79069470590499
5.0,32.0,0.1,1.0,5.0,16.0,2.0,0.19357359409332275,0.13968905806541443,1,29.127006647003107
